[EXP] 0: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 1: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 2: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 3: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 4: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 5: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 6: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 7: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 8: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 9: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 10: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 11: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 12: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 13: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 14: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 15: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 16: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 17: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 18: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 19: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 20: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 21: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 22: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 23: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 24: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 25: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 26: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 27: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 28: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
